Symbol,Company,Industry
AAN,"Aaron's, Inc.",Specialty Retail
AAP,"Advance Auto Parts, Inc.",Specialty Retail
AASP,All-American Sportpark Inc,"Hotels, Restaurants & Leisure"
ABBY,Abby Inc,Specialty Retail
ABCD,"Cambium Learning Group, Inc.",Diversified Consumer Services
ABG,"Asbury Automotive Group, Inc.",Specialty Retail
ACGX,Alliance Creative Group Inc,Media
ACNI,"American Community Newspapers, Inc.",Media
ACTL,Artec Global Media Inc,Media
ADBN,Americana Distribution Inc,Media
ADEC,Alternative Energy Development Corp,Auto Components
ADNT,Adient PLC,Auto Components
ADTR,Alliance Media Holdings Inc,Distributors
AEO,American Eagle Outfitters,Specialty Retail
AERO,"AeroGrow International, Inc.",Household Durables
AFTM,Aftermaster Inc,Leisure Products
AGNU,AG&E Holdings Inc,"Hotels, Restaurants & Leisure"
AGTK,Argitek Holdings Inc,Distributors
AHC,A. H. Belo Corporation,Media
AIOM,Axiom Holdings Inc,"Hotels, Restaurants & Leisure"
AITVF,ASIAN TELEVISION NETWRK INTL,Media
ALV,Autoliv Inc.,Auto Components
ALXXF,AVANTE LOGIXX INC,Diversified Consumer Services
AMBOY,Ambow Education Holding Ltd (ADR),Diversified Consumer Services
AMC,AMC Entertainment Holdings Inc,Media
AMCN,AirMedia Group Inc (ADR),Media
AMCX,AMC Networks Inc,Media
AMMA,Alliance MMA Inc,Media
AMRA,"American Racing Capital, Inc.","Hotels, Restaurants & Leisure"
AMTY,Amerityre Corp,Auto Components
AMZN,"Amazon.com, Inc.",Internet & Direct Marketing Retail
AN,"AutoNation, Inc.",Specialty Retail
ANF,Abercrombie & Fitch Co.,Specialty Retail
AOBC,American Outdoor Brands Corp,Leisure Products
AOCIF,AUTOCANADA INC,Specialty Retail
APEI,"American Public Education, Inc.",Diversified Consumer Services
APRN,Blue Apron Holdings Inc,Internet & Direct Marketing Retail
APTV,Aptiv PLC,Auto Components
ARCI,Appliance Recycling Centers of Amer Inc,Specialty Retail
ARCO,Arcos Dorados Holding Inc,"Hotels, Restaurants & Leisure"
ARHN,Archon Corporation,"Hotels, Restaurants & Leisure"
ARKR,Ark Restaurants Corp,"Hotels, Restaurants & Leisure"
ARMK,Aramark,"Hotels, Restaurants & Leisure"
AROPQ,ARO Liquidation Inc,Specialty Retail
ARPC,Arem Pacific Corp,Diversified Consumer Services
ASCMA,Ascent Capital Group Inc,Diversified Consumer Services
ASNA,Ascena Retail Group Inc,Specialty Retail
ASPU,Aspen Group Inc,Diversified Consumer Services
ATAI,ATA Inc.(ADR),Diversified Consumer Services
ATAR,Avatar Ventures Corp.,Auto Components
ATGE,Adtalem Global Education Inc,Diversified Consumer Services
ATSR,Asia Travel Corp,"Hotels, Restaurants & Leisure"
