Symbol,Company,Industry
AAPT,All American Pet Co Inc,Food Products
ABAC,Renmin Tianli Group Inc,Food Products
ABCXF,ASIA BIO-CHEM GROUP CORP,Food Products
ABS,Albertsons Companies Inc,Food & Staples Retailing
ADM,Archer Daniels Midland Co,Food Products
ADRNY,Koninklijke Ahold Delhaize NV (ADR),Food & Staples Retailing
ADWPF,ANDREW PELLER LTD,Beverages
AGRO,Adecoagro SA,Food Products
AHFD,Active Health Foods Inc,Food Products
AHFP,Artisanal Brands Inc,Food & Staples Retailing
AHII,American Heritage International Inc,Tobacco
AIRW,Airware Labs Corp,Personal Products
AKO.B,Embotelladora Andina SA (ADR),Beverages
ALCO,"Alico, Inc.",Food Products
ALKM,Alkame Holdings Inc,Beverages
ALN,American Lorain Corporation,Food Products
ALTA,Alterola Biotech Inc,Personal Products
AMNF,Armanino Foods Of Distinction Inc.,Food Products
ANCSQ,American Consumers Inc,Food & Staples Retailing
ANCTF,ALIMENTATION COUCHE-TARD INC,Food & Staples Retailing
ANCUF,Alimentation Couche-Tard Inc (USA),Food & Staples Retailing
ANDE,Andersons Inc,Food & Staples Retailing
ANFI,Amira Nature Foods Ltd,Food Products
ANPFF,Anpulo Food Inc,Food Products
AOBI,"American Oriental Bioengineering, Inc.",Personal Products
AOI,"Alliance One International, Inc.",Tobacco
ASCBQ,"Ascendia Brands, Inc.",Personal Products
ASCC,Aristocrat Group Corp,Beverages
ASIUQ,Alterrus Systems Inc,Food Products
AVIX,"Avix Technologies, Inc.",Food Products
AVP,"Avon Products, Inc.",Personal Products
BF.B,Brown-Forman Corporation,Beverages
BG,Bunge Ltd,Food Products
BGS,"B&G Foods, Inc.",Food Products
BIBLF,BRICK BREWING CO LTD,Beverages
BKCT,DTS8 Coffee Company Ltd,Food Products
BLGX,Biologix Hair Inc,Personal Products
BORN,China New Borun Corp,Beverages
BRBMF,Big Rock Brewery Inc (USA),Beverages
BREW,Craft Brew Alliance Inc,Beverages
BRFH,Barfresh Food Group Inc,Food Products
BRFS,BRF SA (ADR),Food Products
BRID,Bridgford Foods Corporation,Food Products
BTI,British American Tobacco PLC (ADR),Tobacco
BUD,Anheuser Busch Inbev NV (ADR),Beverages
BUFF,Blue Buffalo Pet Products Inc,Food Products
CAG,Conagra Brands Inc,Food Products
CALM,Cal-Maine Foods Inc,Food Products
CASY,Casey's General Stores Inc,Food & Staples Retailing
CAW,"CCA Industries, Inc.",Personal Products
CBD,Companhia Brasileira de Distribuicao,Food & Staples Retailing
CBDS,Cannabis Sativa Inc,Personal Products
CBDX,Curative Biosciences Inc,Food Products
CBPI,China Botanic Pharmaceutical Inc,Personal Products
CBYDF,CORBY SPIRIT AND WINE LTD,Beverages
CCE,Coca-Cola European Partners PLC,Beverages
CCU,Compania Cervecerias Unidas S.A. (ADR),Beverages
CDSG,"China DongSheng International, Inc.",Personal Products
CELH,"Celsius Holdings, Inc.",Beverages
CENT,Central Garden & Pet Co,Household Products
CFPI,California Style Palms Inc,Food Products
CGYG,China Longyi Group Int'l Holding,Personal Products
CHD,"Church & Dwight Co., Inc.",Household Products
CHEF,Chefs' Warehouse Inc,Food & Staples Retailing
CHFR,China Fruits Corp,Food Products
CHHE,"China Health Industries Holdings, Inc.",Personal Products
CHHHF,CENTRIC HEALTH CORP,Food & Staples Retailing
CHLE,Centennial Specialty Foods Corporation,Food Products
CHSCP,CHS Inc,Food Products
CJJD,China Jo-Jo Drugstores Inc,Food & Staples Retailing
CL,Colgate-Palmolive Company,Household Products
CLNP,CleanPath Resources Corp.,Beverages
CLX,Clorox Co,Household Products
CMCI,China Modern Agricultural Informatn Inc,Food Products
CMFO,China Marine Food Group Ltd,Food Products
CNCG,Concierge Technologies Inc,Food Products
CNOZ,"Cono Italiano, Inc.",Food & Staples Retailing
CNXS,Connexus Corp,Food Products
COKE,Coca-Cola Bottling Co Consolidated,Beverages
COST,Costco Wholesale Corporation,Food & Staples Retailing
COT,Cott Corp (USA),Beverages
COTY,Coty Inc,Personal Products
CPB,Campbell Soup Company,Food Products
CRBBF,CORBY SPIRIT & WINE LTD CL B,Beverages
CRMBQ,Crumbs Bake Shop Inc,Food & Staples Retailing
CSEAF,CLEARWATER SEAFOODS INC,Food Products
CUBV,Cuba Beverage Co,Food Products
CUSI,"Cuisine Solutions, Inc.",Food Products
CVGW,"Calavo Growers, Inc.",Food Products
CVS,CVS Health Corp,Food & Staples Retailing
CVSI,CV Sciences Inc,Personal Products
CWGL,Crimson Wine Group Ltd,Beverages
CYAN,CYANOTECH CORP,Personal Products
CYIG,China YCT International Group Inc.,Personal Products
DANOY,Danone SA (ADR),Food Products
DAR,Darling Ingredients Inc,Food Products
DEO,Diageo plc (ADR),Beverages
DF,Dean Foods Co,Food Products
DGJI,Dragon Jade International Ltd,Personal Products
DKAM,"Drinks Americas Holdings, Ltd.",Beverages
DKTS,Top Shelf Brands Holdings Corp,Beverages
DNAX,"DNA Brands, Inc.",Beverages
DNDT,DND Technologies Inc,Personal Products
DPS,Dr Pepper Snapple Group Inc.,Beverages
DROP,Fuse Science Inc,Personal Products
EAST,Eastside Distilling Inc,Beverages
ECIGQ,Electronic Cigarettes Intl Group Ltd,Tobacco
EHSK,Enhance Skin Products Inc,Personal Products
EL,Estee Lauder Companies Inc,Personal Products
ELF,e.l.f. Beauty Inc,Personal Products
EMPO,Empowered Products Inc,Personal Products
ENDO,Omnicanna Health Solutions Inc,Personal Products
ENHD,Energroup Holdings Corp,Food Products
ENR,Energizer Holdings Inc,Household Products
ENRT,Enertopia Corp,Personal Products
EPC,Edgewell Personal Care Co,Personal Products
ERBB,American Green Inc,Food & Staples Retailing
ERGO,Entia Biosciences Inc,Personal Products
EROX,"Human Pheromone Sciences, Inc.",Personal Products
FARM,Farmer Bros Co,Food Products
FBER,Agritech Worldwide Inc,Personal Products
FCTOA,Fact Corp,Food Products
FDP,Fresh Del Monte Produce Inc,Food Products
FITX,Creative Edge Nutrition Inc,Personal Products
FIZZ,National Beverage Corp.,Beverages
FLAF,Farm Lands of Africa Inc,Food Products
FLO,"Flowers Foods, Inc.",Food Products
FMBV,Full Motion Beverage Inc.,Beverages
FMX,Fomento Economico Mexicano SAB (ADR),Beverages
FPFI,Fresh Promise Foods Inc,Food Products
FRNFF,FERONIA INC NEW COM NEW,Food Products
FRPT,Freshpet Inc,Food Products
FSPM,Fusion Pharm Inc,Food Products
FTFT,Future Fintech Group Inc,Food Products
