symbol,name
AAPH,American Petro-Hunter Inc
AAV,Advantage Oil & Gas Ltd (USA)
ABLE,"Able Energy, Inc."
ACKBF,Bow Energy Ltd
ADENF,Adira Energy Ltd
ADNY,Adino Energy Corp
AE,Adams Resources & Energy Inc
AEDC,American Energy Development Corp
AEGG,American Energy Group Ltd
AHGP,"Alliance Holdings GP, L.P."
AKTAF,AKITA DRILLING LTD  -CL A
AKVA,Arkanova Energy Corporation
ALDW,Alon USA Partners LP
ALLM,Alliance BioEnergy + Inc
ALME,Alamo Energy Corp
ALOD,Allied Resources Inc
ALTX,"Altex Industries, Inc."
ALVOF,ALVOPETRO ENERGY LTD
ALYE,Aly Energy Services Inc
AM,Antero Midstream Partners LP
AMAZ,Amazing Energy Oil and Gas Co
AMCF,Andatee China Marine Fuel Ser Corp
AMEN,"AMEN Properties, Inc"
AMGP,Antero Midstream GP LP
AMID,American Midstream Partners LP
AMRS,Amyris Inc
AMSE,American Sands Energy Corp
AMTX,Aemetis Inc
ANDV,Andeavor
ANDX,Andeavor Logistics LP
ANFC,Black Ridge Oil & Gas Inc
ANW,Aegean Marine Petroleum Network Inc.
AOGC,Australian Oil & Gas Corp
AOGN,Avalon Oil and Gas Inc
AOILQ,Armada Oil Inc
APA,Apache Corporation
APC,Anadarko Petroleum Corporation
APLP,Archrock Partners LP
AR,Antero Resources Corp
ARCH,Arch Coal Inc
ARET,Arete Industries Inc
AREX,Approach Resources Inc.
ARLP,"Alliance Resource Partners, L.P."
AROC,Archrock Inc
ARSEF,ALTAI RESOURCES INC
ASC,Ardmore Shipping Corp
ASMFQ,Ausam Energy Corp (USA)
ASPN,Aspen Aerogels Inc
ATDEF,MONTANA EXPLORATION CORP
ATGYF,Antrim Energy Inc.
ATLS,Targa Energy LP
AXAS,Abraxas Petroleum Corp.
AZGSQ,"Aztec Oil & Gas, Inc."
BAS,Basic Energy Services Inc
BBEPQ,Breitburn Energy Partners LP
BBG,Bill Barrett Corporation
BBGP,Bridgegate Pictures Corp
BCEI,Bonanza Creek Energy Inc
BDCO,Blue Dolphin Energy Company
BFLS,Biofuels Power Corp
BFRE,BlueFire Renewables Inc
BGKYF,BIG SKY PETE CORP COM NEW
BKBEF,BLACKBIRD ENERGY INC
BKEP,Blueknight Energy Partners L.P.
BKEPP,Blueknight Energy Partners LP
BKKN,Bakken Resources Inc
BKUCF,BLUE SKY URANIUM CORP
BLKG,Black Stallion Oil and Gas Inc
BMSPF,Biomass Secure Power Inc
BNEFF,BONTERRA ENERGY CORP
BNNLF,Bannerman Resources Limited
BNXR,Brinx Resources Ltd
BOPO,Biopower Operations Corp
BP,BP plc (ADR)
BPIGF,BPI Energy Holdings Inc
BPL,"Buckeye Partners, L.P."
BPT,BP Prudhoe Bay Royalty Trust
BRMR,Blue Ridge Mountain Resources Inc
BRN,"Barnwell Industries, Inc."
BRS,Bristow Group Inc
BRSOF,BRS RESOURCES LTD
BSM,Black Stone Minerals LP
BSPE,Blacksands Petroleum Inc
BTE,Baytex Energy Corp (USA)
BTU,Peabody Energy Corporation
BTU-,Peabody Energy Corp
BUSC,Blue Star Global Inc
BWP,"Boardwalk Pipeline Partners, LP"
BYSWF,BAYSWATER URANIUM CORP
CAPL,Crossamerica Partners LP
CAWLF,CWC ENERGY SERVICES CORP
CBVTF,COBRA VENTURE CORP COM
CCGY,China Clean Energy Inc.
CCJ,Cameco Corp (USA)
CCLP,CSI Compressco LP
CCR,CONSOL Coal Resources LP
CDDRF,CORRIDOR RESOURCES INC
CDEV,Centennial Resource Development Inc
CDVIQ,"Cal Dive International, Inc."
CEGX,Cardinal Energy Group Inc
