Symbol,Company,Industry
AAME,Atlantic American Corporation,Insurance
AB,AllianceBernstein Holding LP,Capital Markets
ABBB,Auburn Bancorp Inc,Thrifts & Mortgage Finance
ABCB,Ameris Bancorp,Banks
ABR,Arbor Realty Trust Inc,Mortgage Real Estate Investment Trusts (REITs)
ABR-A,Arbor Realty Trust Inc,Mortgage Real Estate Investment Trusts (REITs)
ABR-B,Arbor Realty Trust Inc,Mortgage Real Estate Investment Trusts (REITs)
ABR-C,Arbor Realty Trust Inc,Mortgage Real Estate Investment Trusts (REITs)
ABTX,Allegiance Bancshares Inc,Banks
AC,Associated Capital Group Inc,Capital Markets
ACBI,Atlantic Capital Bancshares Inc,Banks
ACFC,Atlantic Coast Financial Corp,Thrifts & Mortgage Finance
ACGL,Arch Capital Group Ltd.,Insurance
ACMTA,ACMAT Corporation,Insurance
ACNB,ACNB Corporation,Banks
ACRE,Ares Commercial Real Estate Corp,Mortgage Real Estate Investment Trusts (REITs)
AEEX,Asia Equity Exchange Group Inc,Capital Markets
AEG,AEGON N.V. (ADR),Insurance
AEL,American Equity Investment Life Holding,Insurance
AFAN,Af Ocean Investment Management Co,Diversified Financial Services
AFCB,Athens Bancshares Corporation,Banks
AFFMQ,"Affirmative Insurance Holdings, Inc.",Insurance
AFG,American Financial Group Inc,Insurance
AFH,Atlas Financial Holdings Inc,Insurance
AFL,AFLAC Incorporated,Insurance
AFSI,AmTrust Financial Services Inc,Insurance
AFSI-A,AmTrust Financial Services Inc,Insurance
AGFMF,AGF MANAGEMENT LTD  -CL B,Capital Markets
AGII,"Argo Group International Holdings, Ltd.",Insurance
AGM,Federal Agricultural Mortgage Corp.,Thrifts & Mortgage Finance
AGM-A,Federal Agricultural Mortgage Corp,Thrifts & Mortgage Finance
AGM-B,Federal Agricultural Mortgage Corp,Thrifts & Mortgage Finance
AGM-C,Federal Agricultural Mortgage Corp,Thrifts & Mortgage Finance
AGNC,AGNC Investment Corp,Mortgage Real Estate Investment Trusts (REITs)
AGO,Assured Guaranty Ltd.,Insurance
AHL,Aspen Insurance Holdings Limited,Insurance
AHL-C,Aspen Insurance Holdings Ltd,Insurance
AHL-D,Aspen Insurance Holdings Ltd,Insurance
AI,Arlington Asset Investment Corp,Capital Markets
AIG,American International Group Inc,Insurance
AINC,Ashford Inc,Capital Markets
AINV,Apollo Investment Corp.,Capital Markets
AIZ,"Assurant, Inc.",Insurance
AIZP,Assurant Inc,Insurance
AJG,Arthur J Gallagher & Co,Insurance
AJSB,AJS Bancorp Inc,Thrifts & Mortgage Finance
AJX,Great Ajax Corp,Mortgage Real Estate Investment Trusts (REITs)
ALARF,ALARIS ROYALTY CORP,Capital Markets
ALBY,"Community Capital Bancshares, Inc.",Banks
ALL,Allstate Corp,Insurance
ALLY,Ally Financial Inc,Consumer Finance
ALMC,Alimco Financial Corp,Capital Markets
AMBC,"Ambac Financial Group, Inc.",Insurance
AMBK,American Bank Inc. (PA),Banks
AMBZ,American Business Bank,Banks
AMFC,AMB Financial Corp.,Banks
AMG,"Affiliated Managers Group, Inc.",Capital Markets
AMNB,American National BankShares Inc,Banks
AMP,"Ameriprise Financial, Inc.",Capital Markets
AMRB,American River Bankshares,Banks
AMRK,A-Mark Precious Metals Inc,Diversified Financial Services
