Symbol,Company,Industry
AACS,"American Commerce Solutions, Inc.",Road & Rail
AAIIQ,"Alabama Aircraft Industries, Inc.",Aerospace & Defense
AAIR,"Avantair, Inc.",Transportation Infrastructure
AAL,American Airlines Group Inc,Airlines
AAON,"AAON, Inc.",Building Products
AAWW,"Atlas Air Worldwide Holdings, Inc.",Air Freight & Logistics
AAXN,Axon Enterprise Inc,Aerospace & Defense
ABB,ABB Ltd (ADR),Electrical Equipment
ABHD,Abtech Holdings Inc,Commercial Services & Supplies
ABIL,Ability Inc,Aerospace & Defense
ABM,"ABM Industries, Inc.",Commercial Services & Supplies
ACAN,Americann Inc,Professional Services
ACCO,ACCO Brands Corporation,Commercial Services & Supplies
ACLH,ACT Clean Technologies Inc,Commercial Services & Supplies
ACM,Aecom,Construction & Engineering
ACTG,Acacia Research Corp,Professional Services
ACU,Acme United Corporation,Commercial Services & Supplies
ACY,AeroCentury Corp.,Trading Companies & Distributors
ADFS,American Defense Systems Inc,Aerospace & Defense
ADGS,ADGS Advisory Inc,Professional Services
ADSV,"Allied Security Innovations, Inc.",Commercial Services & Supplies
ADSW,Advanced Disposal Services Inc,Commercial Services & Supplies
AEGN,Aegion Corp,Construction & Engineering
AER,AerCap Holdings N.V.,Trading Companies & Distributors
AERG,"Applied Energetics, Inc.",Aerospace & Defense
AETI,"American Electric Technologies, Inc.",Electrical Equipment
AFI,Armstrong Flooring Inc,Building Products
AFLYY,Air France KLM SA (ADR),Airlines
AGCO,AGCO Corporation,Machinery
AGMJF,ALGOMA CENTRAL CORP,Marine
AGSO,"AgriSolar Solutions, Inc.",Machinery
AGX,"Argan, Inc.",Construction & Engineering
AIMC,Altra Industrial Motion Corp,Machinery
AIN,Albany International Corp.,Machinery
AIR,AAR Corp.,Aerospace & Defense
AIRI,Air Industries Group Inc,Aerospace & Defense
AIRT,"Air T, Inc.",Air Freight & Logistics
AIT,Applied Industrial Technologies,Trading Companies & Distributors
AITG,"Air Transport Group Holdings, Inc.",Trading Companies & Distributors
AJRD,Aerojet Rocketdyne Holdings Inc,Aerospace & Defense
AL,Air Lease Corp,Trading Companies & Distributors
ALG,"Alamo Group, Inc.",Machinery
ALGI,American Locker Group Inc,Commercial Services & Supplies
ALGT,Allegiant Travel Company,Airlines
ALK,"Alaska Air Group, Inc.",Airlines
ALLE,Allegion PLC,Building Products
ALPE,alpha-En Corporation,Electrical Equipment
ALSN,Allison Transmission Holdings Inc,Machinery
AMCO,Armco Metals Holdings Inc,Trading Companies & Distributors
AME,"AMETEK, Inc.",Electrical Equipment
AMGY,"American Metal & Technology, Inc.",Machinery
AMIN,"American International Industries, Inc.",Industrial Conglomerates
AMOT,"Allied Motion Technologies, Inc.",Electrical Equipment
AMRC,Ameresco Inc,Construction & Engineering
AMSC,American Superconductor Corporation,Electrical Equipment
AMWD,American Woodmark Corporation,Building Products
AOS,A. O. Smith Corp,Building Products
APGI,American Power Group Corp,Commercial Services & Supplies
APLD,Applied Science Products Inc,Machinery
APNI,Alpine Group Inc,Electrical Equipment
APOG,Apogee Enterprises Inc,Building Products
APT,"Alpha Pro Tech, Ltd.",Building Products
APWC,Asia Pacific Wire & Cable,Electrical Equipment
AQMS,Aqua Metals Inc,Commercial Services & Supplies
ARAO,AuraSource Inc,Commercial Services & Supplies
ARC,ARC Document Solutions Inc,Commercial Services & Supplies
ARCAY,ARCADIS NV (ADR),Construction & Engineering
ARCB,ArcBest Corp,Road & Rail
ARCW,ARC Group WorldWide Inc,Machinery
ARII,"American Railcar Industries, Inc.",Machinery
ARNC,Arconic Inc,Aerospace & Defense
ARNC-,Arconic Inc,Aerospace & Defense
ARSC,American Security Resources Corporation,Electrical Equipment
ARTW,Arts-Way Manufacturing Co. Inc.,Machinery
ARTX,Arotech Corporation,Aerospace & Defense
ARWD,Arrow Resources Development Inc.,Commercial Services & Supplies
ASGN,"On Assignment, Inc.",Professional Services
ASR,Grupo Aeroportuario dl Srst SAB CV (ADR),Transportation Infrastructure
ASTC,Astrotech Corp,Aerospace & Defense
ASTE,"Astec Industries, Inc.",Machinery
ASV,ASV Holdings Inc,Machinery
ATKR,Atkore International Group Inc,Electrical Equipment
ATRM,ATRM Holdings Inc,Construction & Engineering
ATRO,Astronics Corporation,Aerospace & Defense
ATSG,Air Transport Services Group Inc.,Air Freight & Logistics
ATTO,Atento SA,Commercial Services & Supplies
ATU,Actuant Corporation,Machinery
AUSI,Aura Systems Inc.,Electrical Equipment
AVAV,"AeroVironment, Inc.",Aerospace & Defense
AVEW,Avew Holdings Inc,Construction & Engineering
AVH,Avianca Holdings SA (ADR),Airlines
AVPFF,AVCORP INDUSTRIES INC,Aerospace & Defense
AWI,Armstrong World Industries Inc,Building Products
AWWC,"Access Worldwide Communications, Inc.",Commercial Services & Supplies
AWX,Avalon Holdings Corp,Commercial Services & Supplies
AXPW,"Axion Power International, Inc.",Electrical Equipment
AXR,AMREP Corporation,Commercial Services & Supplies
AXTG,Axis Technologies Group Inc,Electrical Equipment
AYI,"Acuity Brands, Inc.",Electrical Equipment
AYR,Aircastle Limited,Trading Companies & Distributors
AZZ,AZZ Inc,Electrical Equipment
B,Barnes Group Inc.,Machinery
BA,Boeing Co,Aerospace & Defense
BADFF,BADGER DAYLIGHTING LTD,Construction & Engineering
BBLKF,Britannia Bulk Holdings Inc,Marine
BBSI,"Barrett Business Services, Inc.",Professional Services
BCO,Brink's Company,Commercial Services & Supplies
BDIMF,BLACK DIAMOND GROUP LTD,Commercial Services & Supplies
BDRBF,BOMBARDIER INC  -CL B,Aerospace & Defense
BECN,"Beacon Roofing Supply, Inc.",Trading Companies & Distributors
BESNQ,"Blue Earth Solutions, Inc.",Commercial Services & Supplies
BGC,General Cable Corporation,Electrical Equipment
BGG,Briggs & Stratton Corporation,Machinery
BGSF,BG Staffing Inc,Professional Services
BICB,BioCube Inc,Electrical Equipment
BIIAF,BUHLER INDUSTRIES INC,Machinery
BIRDF,BIRD CONSTRUCTION INC,Construction & Engineering
BIRMF,BIOREM INC,Commercial Services & Supplies
BLBD,Blue Bird Corp,Machinery
BLDP,Ballard Power Systems Inc. (USA),Electrical Equipment
BLDR,"Builders FirstSource, Inc.",Building Products
BLPG,Blue Line Protection Group Inc,Commercial Services & Supplies
BLQN,Balqon Corporation,Machinery
BLSP,Blue Sphere Corp,Commercial Services & Supplies
BLTA,Baltia Air Lines Inc,Airlines
BLUF,BluForest Inc,Commercial Services & Supplies
BMCH,BMC Stock Holdings Inc,Trading Companies & Distributors
BNET,"Bion Environmental Technologies, Inc.",Commercial Services & Supplies
BOLC,Bollente Companies Inc,Building Products
BOOM,Dmc Global Inc,Machinery
BOREF,Borealis Exploration Limited,Electrical Equipment
BPOL,Blackpoll Fleet International Inc,Aerospace & Defense
BRANF,Baran Group Ltd. (USA),Construction & Engineering
BRC,Brady Corp,Commercial Services & Supplies
BRSI,"Ballistic Recovery Systems, Inc.",Aerospace & Defense
BRSS,Global Brass and Copper Holdings Inc,Machinery
BRYFF,BRI-CHEM CORP,Trading Companies & Distributors
BSHF,"Bioshaft Water Technology, Inc.",Commercial Services & Supplies
BTGI,"Bulova Technologies Group, Inc.",Aerospace & Defense
BTQNF,BQE WATER INC,Commercial Services & Supplies
BUKS,Butler National Corporation,Aerospace & Defense
BURCA,Burnham Holdings Inc,Building Products
BW,Babcock & Wilcox Enterprises Inc,Electrical Equipment
BWEN,Broadwind Energy Inc.,Electrical Equipment
BWXT,BWX Technologies Inc,Aerospace & Defense
BXC,BlueLinx Holdings Inc.,Trading Companies & Distributors
BZLFY,Bunzl plc (ADR),Trading Companies & Distributors
CAE,Cae Inc (USA),Aerospace & Defense
CAI,CAI International Inc,Trading Companies & Distributors
CAON,"Chang-On International, Inc.",Building Products
CAPC,Capstone Companies Inc,Electrical Equipment
CAR,Avis Budget Group Inc.,Road & Rail
CAT,Caterpillar Inc.,Machinery
CBDG,THC Farmaceuticals Inc,Commercial Services & Supplies
CBI,Chicago Bridge & Iron Company N.V.,Construction & Engineering
CBPJ,CBP Carbon Industries Inc,Commercial Services & Supplies
CBPX,Continental Building Products Inc,Building Products
CBZ,"CBIZ, Inc.",Professional Services
CCCL,China Ceramics Co Ltd,Building Products
CCNI,"Command Center, Inc.",Professional Services
CCOM,Ccom Group Inc,Trading Companies & Distributors
CCTC,Clean Coal Technologies Inc,Commercial Services & Supplies
CDIIQ,CD International Enterprises Inc,Trading Companies & Distributors
CEA,China Eastern Airlines Corp. Ltd.  (ADR),Airlines
CECE,CECO Environmental Corp.,Commercial Services & Supplies
CELP,Cypress Energy Partners LP,Commercial Services & Supplies
CERGF,CERES GLOBAL AG CORP,Commercial Services & Supplies
CETX,Cemtrex Inc,Commercial Services & Supplies
CETY,Clean Energy Technologies Inc,Electrical Equipment
CEVE,Ceres Ventures Inc,Commercial Services & Supplies
CFRI,Conforce International Inc,Machinery
CFX,Colfax Corp,Machinery
CGI,"Celadon Group, Inc.",Road & Rail
CGJTF,CARGOJET INC,Air Freight & Logistics
CGRW,Cannagrow Holdings Inc,Commercial Services & Supplies
CGYV,China Energy Recovery Inc,Electrical Equipment
CHGI,China Carbon Graphite Group  Inc,Electrical Equipment
CHLO,China Logistics Group Inc,Air Freight & Logistics
CHMP,"Champion Industries, Inc.",Commercial Services & Supplies
CHRW,C.H. Robinson Worldwide Inc,Air Freight & Logistics
CHSH,Eatware Inc,Trading Companies & Distributors
CHUM,Chuma Holdings Inc,Commercial Services & Supplies
