Symbol,Company,Industry
AABA,Altaba Inc,Internet Software & Services
AAOI,Applied Optoelectronics Inc,Communications Equipment
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals"
AAWC,Alexandria Advantage Warranty Co,Semiconductors & Semiconductor Equipment
ABEC,Analytica Bio - Energy Corp,"Electronic Equipment, Instruments & Components"
ABQQ,Ab International Group Corp,Software
ACFN,Acorn Energy Inc,"Electronic Equipment, Instruments & Components"
ACIA,"Acacia Communications, Inc.",Communications Equipment
ACIW,ACI Worldwide Inc,Software
ACLS,Axcelis Technologies Inc,Semiconductors & Semiconductor Equipment
ACLZ,Accelerize Inc,Internet Software & Services
ACN,Accenture Plc,IT Services
ACPS,AC Partners Inc,Internet Software & Services
ACSEF,ACS Motion Control Ltd.,"Electronic Equipment, Instruments & Components"
ACTA,Actua Corp,Internet Software & Services
ACXM,Acxiom Corporation,IT Services
ADBE,Adobe Systems Incorporated,Software
ADGL,AllDigital Holdings Inc,Internet Software & Services
ADI,"Analog Devices, Inc.",Semiconductors & Semiconductor Equipment
ADP,Automatic Data Processing,IT Services
ADS,Alliance Data Systems Corporation,IT Services
ADSK,"Autodesk, Inc.",Software
ADST,"AdStar, Inc.",Internet Software & Services
ADTN,"ADTRAN, Inc.",Communications Equipment
ADVC,Advant-E Corporation,Internet Software & Services
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment
AEIS,"Advanced Energy Industries, Inc.",Semiconductors & Semiconductor Equipment
AEY,"ADDvantage Technologies Group, Inc.","Electronic Equipment, Instruments & Components"
AEYE,Audioeye  Inc,Internet Software & Services
AGYS,"Agilysys, Inc.",Software
AILQF,AIRIQ INC,Internet Software & Services
AIOCF,AVIGILON CORP,"Electronic Equipment, Instruments & Components"
AIRG,Airgain Inc,"Electronic Equipment, Instruments & Components"
AIRO,Airspan Networks Inc,Communications Equipment
AIXXF,AIXTRON SE,Semiconductors & Semiconductor Equipment
AKAM,"Akamai Technologies, Inc.",Internet Software & Services
AKTS,Akoustis Technologies Inc,"Electronic Equipment, Instruments & Components"
ALIF,"Artificial Life, Inc.",Software
ALJJ,"ALJ Regional Holdings, Inc.",IT Services
ALLN,Allin Corporation,IT Services
ALLT,ALLOT COMMUNICATIONS LTD,Software
ALOT,AstroNova Inc,"Technology Hardware, Storage & Peripherals"
ALRM,AlarmCom Hldg Inc,Internet Software & Services
ALYI,"Alternet Systems, Inc.",IT Services
AMAT,"Applied Materials, Inc.",Semiconductors & Semiconductor Equipment
AMBA,Ambarella Inc,Semiconductors & Semiconductor Equipment
AMBR,Amber Road Inc,Internet Software & Services
AMBTQ,AMBT Liquidating Corp,Communications Equipment
AMD,"Advanced Micro Devices, Inc.",Semiconductors & Semiconductor Equipment
AMKR,"Amkor Technology, Inc.",Semiconductors & Semiconductor Equipment
AMRH,Ameri Holdings Inc,IT Services
AMRU,Amaru Inc.,Internet Software & Services
AMSWA,"American Software, Inc.",Software
ANAV,Alpha Network Alliance Ventures Inc,Internet Software & Services
ANDR,Andrea Electronics Corporation,"Electronic Equipment, Instruments & Components"
ANET,Arista Networks Inc,Communications Equipment
ANSS,"ANSYS, Inc.",Software
ANY,Sphere 3D Corp,Software
AOSL,Alpha and Omega Semiconductor Ltd,Semiconductors & Semiconductor Equipment
APCX,AppTech Corp,IT Services
APDN,Applied DNA Sciences Inc,"Electronic Equipment, Instruments & Components"
APH,Amphenol Corporation,"Electronic Equipment, Instruments & Components"
APPF,AppFolio Inc,Internet Software & Services
APPG,Apptigo International Inc,Software
APPN,Appian Corp,Software
APPS,Digital Turbine Inc,Software
APPZ,Monster Arts Inc,Internet Software & Services
APTI,Apptio Inc,Internet Software & Services
APTY,APT Systems Inc,Software
APVS,"Applied Visual Sciences, Inc.",Software
ARCS,Arcis Resources Corp,Internet Software & Services
ARGL,"Argyle Security, Inc.","Electronic Equipment, Instruments & Components"
ARIOQ,"AmeriResource Technologies, Inc.",Internet Software & Services
ARRS,ARRIS International plc,Communications Equipment
ARTD,Peer Media Technologies Inc,Internet Software & Services
ARW,"Arrow Electronics, Inc.","Electronic Equipment, Instruments & Components"
ASIC,Asiana Corporation,IT Services
ASMIY,ASM International NV (ADR),Semiconductors & Semiconductor Equipment
ASML,ASML Holding NV (ADR),Semiconductors & Semiconductor Equipment
ASTI,"Ascent Solar Technologies, Inc.",Semiconductors & Semiconductor Equipment
ASUR,Asure Software Inc,Software
