Symbol,Company,Industry
AA,Alcoa Corp,Metals & Mining
AAGC,All American Gold Corp,Metals & Mining
AAST,Allied American Steel Corp,Metals & Mining
AAU,Almaden Minerals Ltd. (USA),Metals & Mining
ABEPF,ABE RES INC COM NEW,Metals & Mining
ABKI,Abakan Inc,Chemicals
ABLT,American Biltrite Inc.,Chemicals
ABSSF,AIRBOSS OF AMERICA CORP,Chemicals
ABX,Barrick Gold Corp (USA),Metals & Mining
ACAZF,ACADIAN TIMBER CORP,Paper & Forest Products
ACH,Aluminum Corp. of China Limited (ADR),Metals & Mining
ACOL,Acology Inc,Containers & Packaging
ACRB,Asia Carbon Industries Inc,Chemicals
ADES,Advanced Emissions Solutions Inc,Chemicals
ADFJF,ADF GROUP INC,Metals & Mining
ADGO,Advantego Corporation,Metals & Mining
ADMT,"ADM Tronics Unlimited, Inc.",Chemicals
ADRGF,AMADOR GOLD CORP,Metals & Mining
ADTFF,IMETAL RESOURCES INC,Metals & Mining
ADXDF,ADEX MINING INC,Metals & Mining
AEM,Agnico Eagle Mines Ltd (USA),Metals & Mining
AEXE,AIM Energy Inc,Metals & Mining
AFMCF,AFRICAN METALS CORP COM NEW,Metals & Mining
AFMJF,ALPHAMIN RESOURCES CORP,Metals & Mining
AFPW,Alumifuel Power Corp,Chemicals
AFQMF,AFRICAN QUEEN MINES LTD,Metals & Mining
AG,FIRST MAJESTIC SILVER CORP,Metals & Mining
AGCBF,AMARILLO GOLD CORP,Metals & Mining
AGCCF,GENSOURCE POTASH CORP,Chemicals
AGFS,AgroFresh Solutions Inc,Chemicals
AGGFF,AFRICAN GOLD GROUP INC,Metals & Mining
AGI,ALAMOS GOLD INC,Metals & Mining
AGIN,American Graphite Technologies Inc,Metals & Mining
AGMIF,ALDRIDGE MINERALS INC,Metals & Mining
AGRDF,MINNOVA CORP,Metals & Mining
AHNMF,ARCHON MINERALS LTD,Metals & Mining
AIERF,ASIAN MINERAL RESOURCES LTD,Metals & Mining
AIRRF,AURION RESOURCES LTD,Metals & Mining
AIVN,"American International Ventures, Inc.",Metals & Mining
AKAVF,PHOENIX METALS CORP,Metals & Mining
AKG,Asanko Gold Inc,Metals & Mining
AKS,AK Steel Holding Corporation,Metals & Mining
AKZOY,Akzo Nobel N.V. (ADR),Chemicals
ALB,Albemarle Corporation,Chemicals
ALKN,Alkane Inc.,Chemicals
ALMTF,ALMONTY INDUSTRIES INC,Metals & Mining
ALO,ALIO GOLD INC,Metals & Mining
ALTSF,ALTURAS MINERALS CORP,Metals & Mining
ALVLF,ALTO VENTURES LTD,Metals & Mining
AMCRY,Amcor Limited (ADR),Containers & Packaging
AMGC,American Magna Corp,Metals & Mining
AMIQF,ASHANTI SANKOFA INC,Metals & Mining
AMLM,American Lithium Minerals Inc,Metals & Mining
AMNL,Applied Minerals Inc,Metals & Mining
AMNP,American Sierra Gold Corp.,Metals & Mining
AMXEF,AMEX EXPLORATION INC,Metals & Mining
ANGBF,ANGLO BOMARC MINES LTD,Metals & Mining
ANGCF,ANGEL GOLD CORP,Metals & Mining
ANGUF,CANADA ONE MINING CORP,Metals & Mining
ANKOF,ANGKOR GOLD CORP,Metals & Mining
ANLBF,ATON RESOURCES INC,Metals & Mining
ANNO,American Nano Silicon Technology Inc,Chemicals
ANVH,Anviron Holding Co,Chemicals
ANXGF,ANACONDA MINING INC,Metals & Mining
AP,Ampco-Pittsburgh Corp,Metals & Mining
APD,"Air Products & Chemicals, Inc.",Chemicals
APMCF,MORIEN RESOURCES CORP,Metals & Mining
APMFF,EAGLE GRAPHITE INC,Metals & Mining
APRAF,GOLDSTRIKE RESOURCES LTD,Metals & Mining
ARD,Ardagh Group SA,Containers & Packaging
AREM,American Rare Earths and Materials Corp,Metals & Mining
ARGXF,EPOWER METALS INC,Metals & Mining
ARIZF,AFFINITY METALS CORP,Metals & Mining
ARXG,Aurora Gold Corporation,Metals & Mining
ASDZF,ARCTIC STAR EXPLORATION CP,Metals & Mining
ASH,Ashland Global Holdings Inc,Chemicals
ASIX,AdvanSix Inc,Chemicals
ASKDF,First Energy Metals Ltd,Metals & Mining
ASM,Avino Silver & Gold Mines Ltd,Metals & Mining
ASOE,"Apollo Solar Energy, Inc.",Metals & Mining
ASOLF,ASCOT RESOURCES LTD,Metals & Mining
ASWRF,Gungnir Resources Inc,Metals & Mining
ATBYF,ABITIBI ROYALTIES INC,Metals & Mining
ATCMF,ATICO MINING CORP,Metals & Mining
ATCV,ATC Venture Group Inc,Metals & Mining
ATI,Allegheny Technologies Incorporated,Metals & Mining
ATR,"AptarGroup, Inc.",Containers & Packaging
ATRGF,BLACK DRAGON GOLD CORP,Metals & Mining
AU,AngloGold Ashanti Limited (ADR),Metals & Mining
AUMN,Golden Minerals Co,Metals & Mining
AURM,"Aurum, Inc",Metals & Mining
AUSVF,AURA SILVER RESOURCES INC,Metals & Mining
AUY,Yamana Gold Inc. (USA),Metals & Mining
AVD,American Vanguard Corp.,Chemicals
AVPMF,AVRUPA MINERALS LTD,Metals & Mining
AVY,Avery Dennison Corp,Containers & Packaging
AWCMY,Alumina Limited (ADR),Metals & Mining
AXMA,Axiom Management Inc,Metals & Mining
AXTA,Axalta Coating Systems Ltd,Chemicals
AXU,Alexco Resource Corp. (USA),Metals & Mining
AYSI,Alloy Steel International Inc,Metals & Mining
AZIL,Aziel Corp,Metals & Mining
AZMTF,AZIMUT EXPLORATION INC,Metals & Mining
AZNVF,ARCTURUS VENTURES INC,Metals & Mining
BAA,Banro Corporation (USA),Metals & Mining
BAJFF,CAMROVA RESOURCES INC,Metals & Mining
