Symbol,Company,Industry
AAMC,Altisource Asset Management Corp,Real Estate Management & Development
AAT,"American Assets Trust, Inc",Equity Real Estate Investment Trusts (REITs)
ABCP,AmBase Corporation,Real Estate Management & Development
ACC,"American Campus Communities, Inc.",Equity Real Estate Investment Trusts (REITs)
ADC,Agree Realty Corporation,Equity Real Estate Investment Trusts (REITs)
AFGC,Africa Growth Corp,Real Estate Management & Development
AHH,Armada Hoffler Properties Inc,Equity Real Estate Investment Trusts (REITs)
AHP,Ashford Hospitality Prime Inc,Equity Real Estate Investment Trusts (REITs)
AHP-B,Ashford Hospitality Prime Inc,Equity Real Estate Investment Trusts (REITs)
AHT,"Ashford Hospitality Trust, Inc.",Equity Real Estate Investment Trusts (REITs)
AHT-D,Ashford Hospitality Trust Inc,Equity Real Estate Investment Trusts (REITs)
AHT-F,Ashford Hospitality Trust Inc,Equity Real Estate Investment Trusts (REITs)
AHT-G,Ashford Hospitality Trust Inc,Equity Real Estate Investment Trusts (REITs)
AHT-H,Ashford Hospitality Trust Inc,Equity Real Estate Investment Trusts (REITs)
AHT-I,Ashford Hospitality Trust Inc,Equity Real Estate Investment Trusts (REITs)
AIV,Apartment Investment and Management Co,Equity Real Estate Investment Trusts (REITs)
AIV-A,Apartment Investment and Management Co,Equity Real Estate Investment Trusts (REITs)
AKR,Acadia Realty Trust,Equity Real Estate Investment Trusts (REITs)
ALEX,Alexander & Baldwin Inc,Real Estate Management & Development
ALX,"Alexander's, Inc.",Equity Real Estate Investment Trusts (REITs)
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts (REITs)
AMH-C,American Homes 4 Rent,Equity Real Estate Investment Trusts (REITs)
AMH-D,American Homes 4 Rent,Equity Real Estate Investment Trusts (REITs)
AMH-E,American Homes 4 Rent,Equity Real Estate Investment Trusts (REITs)
AMH-F,American Homes 4 Rent,Equity Real Estate Investment Trusts (REITs)
AMT,American Tower Corp,Equity Real Estate Investment Trusts (REITs)
AOXY,"Advanced Oxygen Technologies, Inc.",Real Estate Management & Development
APLE,Apple Hospitality REIT Inc,Equity Real Estate Investment Trusts (REITs)
APTS,Preferred Apartment Communities Inc.,Equity Real Estate Investment Trusts (REITs)
