Symbol,Company,Industry
ABWN,Airborne Wireless Network,Diversified Telecommunication Services
ALSK,Alaska Communications Systems Group Inc,Diversified Telecommunication Services
AMX,America Movil SAB de CV (ADR),Wireless Telecommunication Services
ATNI,ATN International Inc,Diversified Telecommunication Services
AVIFY,Advanced Info Service PCL (ADR),Wireless Telecommunication Services
BCDI,Polar Wireless Corp,Wireless Telecommunication Services
BCE,BCE Inc. (USA),Diversified Telecommunication Services
BCOM,B COMMUNICATIONS LTD,Diversified Telecommunication Services
BKSD,Blueprint Technologies Inc,Diversified Telecommunication Services
BT,BT Group plc (ADR),Diversified Telecommunication Services
BZTG,Heffx Inc,Diversified Telecommunication Services
CALL,magicJack VocalTec Ltd,Diversified Telecommunication Services
CBB,Cincinnati Bell Inc.,Diversified Telecommunication Services
CCOI,Cogent Communications Holdings Inc,Diversified Telecommunication Services
CEL,Cellcom Israel Ltd.,Wireless Telecommunication Services
CHA,China Telecom Corporation Limited (ADR),Diversified Telecommunication Services
CHL,China Mobile Ltd. (ADR),Wireless Telecommunication Services
CHMD,Median Group Inc,Wireless Telecommunication Services
CHT,"Chunghwa Telecom Co., Ltd (ADR)",Diversified Telecommunication Services
CHU,China Unicom (Hong Kong) Limited (ADR),Diversified Telecommunication Services
CNSL,Consolidated Communications Holdings Inc,Diversified Telecommunication Services
CORG,Cordia Corp,Diversified Telecommunication Services
CTL,Centurylink Inc,Diversified Telecommunication Services
CWTC,World Nation Live Entertainment Inc,Diversified Telecommunication Services
DCM,NTT Docomo Inc (ADR),Wireless Telecommunication Services
DTEGY,Deutsche Telekom AG (ADR),Diversified Telecommunication Services
DTGI,Digerati Technologies Inc,Diversified Telecommunication Services
ERFB,"ERF Wireless, Inc.",Wireless Telecommunication Services
FLTT,"Flint Telecom Group, Inc.",Diversified Telecommunication Services
FSNN,"Fusion Telecommunications Int'l, Inc.",Diversified Telecommunication Services
FTR,Frontier Communications Corp,Diversified Telecommunication Services
FUIG,Fusion Interactive Corp,Diversified Telecommunication Services
GSAT,"Globalstar, Inc.",Diversified Telecommunication Services
HCOM,Hawaiian Telcom HoldCo Inc,Diversified Telecommunication Services
HLTOY,Hellenic Telecom Organization S.A. (ADR),Diversified Telecommunication Services
HMMR,Hammer Fiber Optics Holdings Corp,Diversified Telecommunication Services
I,Intelsat SA,Diversified Telecommunication Services
ICTG,ICTC Group Inc,Diversified Telecommunication Services
IDT,IDT Corporation,Diversified Telecommunication Services
IGLD,Internet Gold Golden Lines Ltd,Diversified Telecommunication Services
IMTO,InterMetro Communications Inc,Diversified Telecommunication Services
IRDM,Iridium Communications Inc,Diversified Telecommunication Services
ITDD,Integrated Data Corp,Wireless Telecommunication Services
JSFCF,SISTEMA PJSFC,Wireless Telecommunication Services
JUNP,Juniper Group Inc,Wireless Telecommunication Services
