Symbol,Company,Industry
ACLLF,ATCO LTD  -CL I,Multi-Utilities
AEE,Ameren Corp,Multi-Utilities
AEEI,"American Environmental Energy, Inc.",Independent Power and Renewable Electricity Producers
AEP,American Electric Power Company Inc,Electric Utilities
AES,AES Corp,Independent Power and Renewable Electricity Producers
AGR,Avangrid Inc,Electric Utilities
ALAN,"Alanco Technologies, Inc.",Water Utilities
ALE,ALLETE Inc,Electric Utilities
ALP-Q,Alabama Power Co,Electric Utilities
AOMOY,MOSENERGO PJSC,Electric Utilities
APU,"AmeriGas Partners, L.P.",Gas Utilities
ARTNA,Artesian Resources Corporation,Water Utilities
AT,Atlantic Power Corp,Independent Power and Renewable Electricity Producers
ATO,Atmos Energy Corporation,Gas Utilities
AVA,Avista Corp,Multi-Utilities
AWK,American Water Works Company Inc,Water Utilities
AWR,American States Water Co,Water Utilities
AY,Atlantica Yield PLC,Independent Power and Renewable Electricity Producers
AZRE,Azure Power Global Ltd,Independent Power and Renewable Electricity Producers
BEP,BROOKFIELD RENEWABLE PRTS LP,Independent Power and Renewable Electricity Producers
BIP,Brookfield Infrastructure Partners L.P.,Electric Utilities
BKH,Black Hills Corp,Multi-Utilities
BRLXF,BORALEX INC,Independent Power and Renewable Electricity Producers
CAFD,8Point3 Energy Partners LP,Independent Power and Renewable Electricity Producers
CDZI,Cadiz Inc,Water Utilities
CGFEF,CHANGFENG ENERGY INC,Gas Utilities
CHNGQ,"China Natural Gas, Inc.",Gas Utilities
CIG,Companhia Energetica de Minas Gers CEMIG,Electric Utilities
CLIRF,CLEARFORD WTR SYS INC COM,Water Utilities
CLPHY,CLP Holdings Limited (ADR),Electric Utilities
CMS,CMS Energy Corporation,Multi-Utilities
CMS-B,Consumers Energy Co,Multi-Utilities
CNER,China New Energy Group Company,Gas Utilities
CNIG,Corning Natural Gas Holding Corp,Gas Utilities
CNP,"CenterPoint Energy, Inc.",Multi-Utilities
CPK,Chesapeake Utilities Corporation,Gas Utilities
CPL,CPFL Energia S.A. (ADR),Electric Utilities
CPXWF,CAPITAL POWER CORP,Independent Power and Renewable Electricity Producers
CRGE,Clenergen Corp,Independent Power and Renewable Electricity Producers
CTWS,Connecticut Water Service Inc,Water Utilities
CUPUF,CARIBBEAN UTILITIES CO LTD,Electric Utilities
CWCO,Consolidated Water Co. Ltd.,Water Utilities
CWT,California Water Service Group,Water Utilities
D,Dominion Energy Inc,Multi-Utilities
DTE,DTE Energy Co,Multi-Utilities
DUK,Duke Energy Corp,Electric Utilities
DYN,Dynegy Inc,Independent Power and Renewable Electricity Producers
DYNA,Dynastar Holdings Inc,Electric Utilities
ED,"Consolidated Edison, Inc.",Multi-Utilities
